,spc_common,count
0,'Schubert' Chokecherry,4888
1,American Beech,273
2,American Elm,7975
3,American Hophornbeam,1081
4,American Hornbeam,1517
5,American Larch,46
6,American Linden,13530
7,Amur Cork Tree,183
8,Amur Maackia,2197
9,Amur Maple,2049
10,Atlantic White Cedar,355
11,Atlas Cedar,87
12,Callery Pear,58931
13,Chinese Chestnut,173
14,Chinese Elm,5345
15,Chinese Fringetree,234
16,Chinese Tree Lilac,462
17,Cornelian Cherry,1066
18,Douglas-Fir,85
19,English Oak,1644
20,European Alder,47
21,European Beech,125
22,European Hornbeam,2099
23,Himalayan Cedar,72
24,Japanese Hornbeam,426
25,Japanese Maple,1130
26,Japanese Snowbell,392
27,Japanese Tree Lilac,4568
28,Japanese Zelkova,29258
29,Kentucky Coffeetree,3364
30,Kentucky Yellowwood,479
31,London Planetree,87014
32,Norway Maple,34189
33,Norway Spruce,355
34,Ohio Buckeye,75
35,Oklahoma Redbud,219
36,Osage-Orange,29
37,Persian Ironwood,277
38,Schumard'S Oak,1487
39,Scots Pine,25
40,Shantung Maple,59
41,Siberian Elm,1595
42,Sophora,19338
43,Turkish Hazelnut,317
44,Virginia Pine,10
45,Arborvitae,328
46,Ash,2609
47,Bald Cypress,1261
48,Bigtooth Aspen,94
49,Black Cherry,607
50,Black Locust,1784
51,Black Maple,114
52,Black Oak,1327
53,Black Pine,37
54,Black Walnut,295
55,Blackgum,288
56,Blue Spruce,126
57,Boxelder,64
58,Bur Oak,515
59,Catalpa,551
60,Cherry,29279
61,Cockspur Hawthorn,341
62,Common Hackberry,2382
63,Crab Apple,3527
64,Crepe Myrtle,442
65,Crimson King Maple,5923
66,Cucumber Magnolia,169
67,Dawn Redwood,3020
68,Eastern Cottonwood,276
69,Eastern Hemlock,88
70,Eastern Redbud,3801
71,Eastern Redcedar,1101
72,Empress Tree,245
73,False Cypress,108
74,Flowering Dogwood,1552
75,Ginkgo,21024
76,Golden Raintree,3719
77,Green Ash,16251
78,Hardy Rubber Tree,915
79,Hawthorn,2988
80,Hedge Maple,2550
81,Holly,138
82,Honeylocust,64264
83,Horse Chestnut,1096
84,Katsura Tree,911
85,Kousa Dogwood,302
86,Littleleaf Linden,29742
87,Magnolia,699
88,Maple,7080
89,Mimosa,163
90,Mulberry,1157
91,Northern Red Oak,8400
92,Pagoda Dogwood,280
93,Paper Birch,535
94,Paperbark Maple,220
95,Pignut Hickory,99
96,Pin Oak,53185
97,Pine,289
98,Pitch Pine,33
99,Pond Cypress,181
100,Purple-Leaf Plum,6879
101,Quaking Aspen,83
102,Red Horse Chestnut,116
103,Red Maple,17246
104,Red Pine,106
105,River Birch,565
106,Sassafras,171
107,Sawtooth Oak,2244
108,Scarlet Oak,1465
109,Serviceberry,2032
110,Shingle Oak,1049
111,Silver Birch,300
112,Silver Linden,7995
113,Silver Maple,12277
114,Smoketree,58
115,Southern Magnolia,132
116,Southern Red Oak,83
117,Spruce,202
118,Sugar Maple,2844
119,Swamp White Oak,6598
120,Sweetgum,10657
121,Sycamore Maple,2731
122,Tartar Maple,153
123,Tree Of Heaven,756
124,Trident Maple,110
125,Tulip-Poplar,1076
126,Two-Winged Silverbell,221
127,Weeping Willow,282
128,White Ash,1121
129,White Oak,1686
130,White Pine,202
131,Willow Oak,3184
