spc_common,count
London Planetree,87014
Honeylocust,64264
Callery Pear,58931
Pin Oak,53185
Norway Maple,34189
Littleleaf Linden,29742
Cherry,29279
Japanese Zelkova,29258
Ginkgo,21024
Sophora,19338
Red Maple,17246
Green Ash,16251
American Linden,13530
Silver Maple,12277
Sweetgum,10657
Northern Red Oak,8400
Silver Linden,7995
American Elm,7975
Maple,7080
Purple-Leaf Plum,6879
Swamp White Oak,6598
Crimson King Maple,5923
Chinese Elm,5345
'Schubert' Chokecherry,4888
Japanese Tree Lilac,4568
Eastern Redbud,3801
Golden Raintree,3719
Crab Apple,3527
Kentucky Coffeetree,3364
Willow Oak,3184
Dawn Redwood,3020
Hawthorn,2988
Sugar Maple,2844
Sycamore Maple,2731
Ash,2609
Hedge Maple,2550
Common Hackberry,2382
Sawtooth Oak,2244
Amur Maackia,2197
European Hornbeam,2099
Amur Maple,2049
Serviceberry,2032
Black Locust,1784
White Oak,1686
English Oak,1644
Siberian Elm,1595
Flowering Dogwood,1552
American Hornbeam,1517
Schumard'S Oak,1487
Scarlet Oak,1465
Black Oak,1327
Bald Cypress,1261
Mulberry,1157
Japanese Maple,1130
White Ash,1121
Eastern Redcedar,1101
Horse Chestnut,1096
American Hophornbeam,1081
Tulip-Poplar,1076
Cornelian Cherry,1066
Shingle Oak,1049
Hardy Rubber Tree,915
Katsura Tree,911
Tree Of Heaven,756
Magnolia,699
Black Cherry,607
River Birch,565
Catalpa,551
Paper Birch,535
Bur Oak,515
Kentucky Yellowwood,479
Chinese Tree Lilac,462
Crepe Myrtle,442
Japanese Hornbeam,426
Japanese Snowbell,392
Atlantic White Cedar,355
Norway Spruce,355
Cockspur Hawthorn,341
Arborvitae,328
Turkish Hazelnut,317
Kousa Dogwood,302
Silver Birch,300
Black Walnut,295
Pine,289
Blackgum,288
Weeping Willow,282
Pagoda Dogwood,280
Persian Ironwood,277
Eastern Cottonwood,276
American Beech,273
Empress Tree,245
Chinese Fringetree,234
Two-Winged Silverbell,221
Paperbark Maple,220
Oklahoma Redbud,219
Spruce,202
White Pine,202
Amur Cork Tree,183
Pond Cypress,181
Chinese Chestnut,173
Sassafras,171
Cucumber Magnolia,169
Mimosa,163
Tartar Maple,153
Holly,138
Southern Magnolia,132
Blue Spruce,126
European Beech,125
Red Horse Chestnut,116
Black Maple,114
Trident Maple,110
False Cypress,108
Red Pine,106
Pignut Hickory,99
Bigtooth Aspen,94
Eastern Hemlock,88
Atlas Cedar,87
Douglas-Fir,85
Quaking Aspen,83
Southern Red Oak,83
Ohio Buckeye,75
Himalayan Cedar,72
Boxelder,64
Shantung Maple,59
Smoketree,58
European Alder,47
American Larch,46
Black Pine,37
Pitch Pine,33
Osage-Orange,29
Scots Pine,25
Virginia Pine,10
